problem_id,answer
11919,12.0
8513,1128.5
7887,4
5272,6
8295,13
3219,15
7235,55
3688,21
6116,1224
4720,3
12122,48
4311,4
8283,7
8347,74
4170,220
4,21
8307,10
7108,544
7775,800
7680,216
8780,1680
8707,0.0225
7863,0.8
12036,60
4569,3
8134,21
160,9900
2869,370.8
3309,10
6941,0.462
4880,6
5126,2134
7059,20000
10649,40
10357,2
2445,0.1
5755,27.9
4849,2
1216,0.46
7787,77
2405,3
3041,6
10411,8
7081,328
6018,4
8948,0.8
4658,4
11679,60
5390,0.992
5319,-4
6907,2.5
9695,1
12092,60
8458,323.2
7136,31
11922,8.4
6101,4
245,48
7880,10
12166,14
8116,8
13554,340
4249,66
12184,2349
5232,-4
9499,20980
4908,24
7452,5
13512,50
9253,15
12338,2
4478,12
5170,-5
3122,515
10457,15
2370,-1.7
8670,0.25
9446,1040
8083,1
5321,-6
9388,55500
8443,8
8138,21600
12084,19
3305,11
4810,23
25,0.361
217,10.05
1421,22
6914,1
4724,123
10460,26
1324,0.40
5268,7
5164,6
3519,25
7934,12
9390,220000
7137,22
5914,300
